name,polarity,factual,domain
The Liberty Beacon,Conspiracy-Pseudoscience,Low, http://www.thelibertybeacon.com/
The Mind Unleashed,Conspiracy-Pseudoscience,Low, https://themindunleashed.com/
The Rundown Live,Conspiracy-Pseudoscience,Low, https://therundownlive.com/ 
The Stream,Conspiracy-Pseudoscience,Mixed, https://stream.org/
The Trumpet,Conspiracy-Pseudoscience,Mixed, https://www.thetrumpet.com/
The Truth about Cancer,Conspiracy-Pseudoscience,Low, https://thetruthaboutcancer.com/ 
The Truth Seeker,Conspiracy-Pseudoscience,Low, http://www.thetruthseeker.co.uk/
The Vaccine Reaction,Conspiracy-Pseudoscience,Low,
The Waking Times,Conspiracy-Pseudoscience,Low, https://www.wakingtimes.com
Thinking Humanity,Conspiracy-Pseudoscience,Low, https://www.thinkinghumanity.com/
Thinking Mom's Revolution,Conspiracy-Pseudoscience,Low, http://thinkingmomsrevolution.com/
Thought Catalog,Conspiracy-Pseudoscience,Mixed, https://thoughtcatalog.com/
Thought Crime Radio,Conspiracy-Pseudoscience,Low, http://thoughtcrimeradio.net
Thrive Global,Conspiracy-Pseudoscience,Mixed, https://thriveglobal.com/
Thrive Movement,Conspiracy-Pseudoscience,Low, http://www.thrivemovement.com/
Topinfo Post,Conspiracy-Pseudoscience,Low, http://www.topinfopost.com/
Treason.News,Conspiracy-Pseudoscience,Very Low, https://treason.news/
True Pundit,Conspiracy-Pseudoscience,Low, https://truepundit.com/
TruNews,Conspiracy-Pseudoscience,Low, https://www.trunews.com/
Truth Broadcasting Network,Conspiracy-Pseudoscience,Low, http://truthbroadcastnetwork.com/
Truth Broadcating Network,Conspiracy-Pseudoscience,Low, http://truthbroadcastnetwork.com/
Truth Channel Politics,Conspiracy-Pseudoscience,Low, http://truthchannelpolitics.com/
Twisted News,Conspiracy-Pseudoscience,Very Low, http://www.twisted.news/
UK Column,Conspiracy-Pseudoscience,Low, https://www.ukcolumn.org
